episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
5100,0.9892354444444444,-51250,38193.0,10466.7166796875,29808,0.08,8,48570.0,85,73,83,75,75,59,70,72,75
5200,0.9890243333333333,77750,42251.5,10325.154462890625,30397,0.09,5,50370.0,72,66,75,65,76,81,77,74,75
5300,0.9888132222222222,58700,38898.0,10349.36681640625,30978,0.11,8,49430.0,74,77,88,70,60,66,77,76,67
5400,0.9886021111111111,-66000,38375.0,10431.43591796875,31555,0.08,7,48280.0,75,83,75,78,67,69,70,74,61
5500,0.988391,15500,34035.0,10369.3555859375,32137,0.22,11,45520.0,74,71,81,73,79,61,63,84,70
5600,0.9881798888888889,-75000,41702.5,10272.196259765626,32725,0.16,6,51210.0,76,72,75,84,73,65,70,74,75
5700,0.9879687777777778,36500,41296.5,10277.2256640625,33309,0.26,5,49690.0,64,77,76,61,85,62,81,78,64
5800,0.9877576666666666,-57750,39278.0,10341.7728515625,33884,0.14,9,50170.0,70,76,81,72,76,61,63,67,79
5900,0.9875465555555556,65000,31339.0,10238.838706054688,34458,0.19,11,43710.0,76,60,75,66,71,72,73,66,91
6000,0.9873354444444444,64250,42248.0,10332.077783203125,35050,0.19,3,49070.0,61,78,69,81,72,83,75,68,66
6100,0.9871243333333334,87000,36695.0,10541.682626953125,35636,0.12,7,46340.0,68,83,70,75,66,75,60,73,84
6200,0.9869132222222222,37500,32426.0,10454.208232421875,36206,0.16,12,43750.0,57,71,61,80,67,75,83,77,56
6300,0.9867021111111111,74750,35470.0,10287.692392578125,36780,0.04,10,46130.0,67,49,68,64,82,84,59,85,83
6400,0.986491,55000,38391.5,10389.183901367187,37361,0.18,9,48530.0,75,63,64,68,85,73,80,70,78
6500,0.9862798888888888,28750,36361.5,10417.486005859375,37943,0.12,8,46740.0,73,80,63,65,79,78,71,68,78
6600,0.9860687777777778,9750,37982.5,10397.771293945312,38536,0.21,6,48080.0,79,69,68,60,85,72,74,87,78
6700,0.9858576666666666,87500,35089.0,10478.990336914063,39118,0.23,10,45950.0,64,80,71,70,90,79,64,51,77
6800,0.9856465555555556,41000,38178.0,10556.51927734375,39706,0.29,7,47830.0,81,62,73,71,82,79,63,73,85
6900,0.9854354444444444,88500,31038.5,10362.629946289062,40276,0.17,13,43540.0,61,81,85,70,62,66,57,73,76
7000,0.9852243333333334,69500,40637.5,10421.392021484375,40856,0.36,7,49560.0,66,76,75,77,68,66,72,72,74
7100,0.9850132222222222,48750,32327.5,10621.339345703125,41434,0.13,9,43880.0,78,64,66,66,87,70,76,64,85
7200,0.9848021111111112,-56000,38202.0,10436.29861328125,42027,0.35,5,46760.0,58,60,69,58,81,74,64,86,101
7300,0.984591,16000,37427.0,10358.660830078124,42617,0.09,5,46040.0,75,66,68,82,79,72,61,89,73
7400,0.9843798888888889,-3250,42451.5,10439.766181640625,43205,0.03,7,50950.0,68,76,76,90,67,74,70,75,60
7500,0.9841687777777778,62000,42563.5,10351.876904296874,43800,0.21,3,49930.0,69,76,68,67,91,70,81,70,72
7600,0.9839576666666666,21250,35481.0,10555.9834765625,44390,0.2,7,45230.0,79,66,74,74,77,83,63,68,85
7700,0.9837465555555556,45250,32279.0,10507.08634765625,44967,0.2,9,43130.0,69,69,69,65,70,78,70,75,81
7800,0.9835354444444444,-55250,32765.5,10272.716171875,45555,0.28,8,42510.0,64,69,68,61,91,72,61,81,85
7900,0.9833243333333334,23500,32416.0,10633.953022460937,46130,0.28,11,44470.0,65,77,85,74,74,88,63,59,55
8000,0.9831132222222222,54200,34160.0,10354.873974609374,46704,0.06,11,44700.0,67,65,69,77,76,60,77,76,74
