episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,23138.18267578125,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,24002.46560546875,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,24508.964150390624,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,24714.32412109375,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,24713.58640625,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-31657.5,23948.143369140624,2884,0.15,33,22110.0,66,75,68,67,47,69,54,67,59
700,0.9985243333333333,-150000,-65710.0,24661.964658203124,3342,0.08,53,7830.0,49,60,58,54,50,56,63,59,58
800,0.9983132222222222,31250,-55712.5,24357.294794921876,3794,0.26,47,13820.0,61,53,54,59,65,57,59,51,54
900,0.9981021111111111,-185000,-56195.0,25210.788427734376,4251,0.17,49,14180.0,50,55,59,60,59,54,61,51,58
1000,0.997891,83000,-27500.0,24974.51478515625,4726,0.07,34,26640.0,61,68,60,51,62,58,68,64,44
1100,0.9976798888888889,46500,-46242.5,25574.22927734375,5196,0.16,42,16990.0,62,49,55,58,71,64,55,53,65
1200,0.9974687777777778,-125250,-52885.0,25547.93765625,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-40972.5,25089.924375,6164,0.2,42,22860.0,70,69,66,62,57,61,54,62,58
1400,0.9970465555555555,-130500,-48130.0,24911.9452734375,6648,0.36,42,17290.0,66,49,73,66,53,61,61,63,58
1500,0.9968354444444445,16000,-53982.5,25123.74078125,7099,0.28,49,17330.0,51,71,50,50,49,60,62,58,51
1600,0.9966243333333333,-7250,-47092.5,26338.9829296875,7581,0.3,40,15520.0,70,46,63,81,56,61,60,61,54
