episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,11750,-30030.0,22827.909130859374,497,0.24,35,26430.0,57,73,53,68,56,66,64,66,51
200,0.9995798888888889,7750,-48940.0,23776.18146484375,981,0.13,44,15650.0,55,51,54,53,63,64,57,74,68
300,0.9993687777777778,-11000,-52457.5,25458.006328125,1444,0.26,46,16090.0,58,43,65,47,66,61,57,56,68
400,0.9991576666666667,41750,-47652.5,24474.411904296874,1904,0.17,42,16000.0,60,52,56,59,70,66,56,48,53
500,0.9989465555555556,-140750,-36342.5,24442.049482421877,2376,0.19,39,23650.0,64,54,66,59,52,58,68,58,57
600,0.9987354444444444,-136000,-27937.5,24734.496796875,2894,0.2,33,25550.0,58,60,75,65,58,69,65,79,47
700,0.9985243333333333,-141000,-42262.5,23930.97033203125,3381,0.08,40,18030.0,64,42,55,77,44,55,74,75,65
800,0.9983132222222222,10500,-53902.5,24320.941962890625,3838,0.13,46,13550.0,60,50,63,54,53,65,53,56,63
900,0.9981021111111111,-185000,-44540.0,23982.46083984375,4319,0.24,40,17470.0,68,63,54,67,59,70,56,60,52
1000,0.997891,64250,-62300.0,25017.05236328125,4769,0.02,51,9720.0,70,64,55,59,51,59,54,54,54
1100,0.9976798888888889,37000,-50765.0,24878.666396484376,5222,0.15,46,16520.0,56,55,50,56,59,53,67,60,53
1200,0.9974687777777778,-128000,-52875.0,24491.6625390625,5679,0.18,47,16350.0,56,58,46,56,67,56,49,57,68
1300,0.9972576666666667,18250,-34525.0,25221.30513671875,6170,0.13,37,22820.0,61,72,68,48,66,60,58,67,52
1400,0.9970465555555555,-125500,-48132.5,25173.88236328125,6654,0.27,44,18170.0,62,61,50,71,53,54,72,56,67
1500,0.9968354444444445,-137000,-54217.5,25230.43478515625,7104,0.21,47,14700.0,57,51,56,54,61,68,57,65,38
1600,0.9966243333333333,-147000,-43690.0,24976.988291015627,7589,0.2,39,17120.0,67,63,59,73,50,58,57,68,57
1700,0.9964132222222222,-159000,-57620.0,24755.34544921875,8038,0.13,49,12610.0,55,57,46,58,53,58,46,66,65
1800,0.9962021111111111,-123000,-55967.5,26099.397177734376,8480,0.25,48,14270.0,44,50,36,55,54,61,52,73,61
1900,0.995991,31500,-39252.5,26010.76060546875,8971,0.15,40,21480.0,60,72,63,55,45,62,70,62,62
2000,0.9957798888888889,-127750,-49950.0,26218.9642578125,9424,0.15,48,19790.0,54,58,52,48,56,54,55,66,64
2100,0.9955687777777777,-147000,-37470.0,26015.399873046874,9923,0.15,37,20120.0,55,38,83,64,62,53,74,64,61
2200,0.9953576666666667,-151000,-55282.5,25331.62216796875,10385,0.14,47,12850.0,49,68,41,51,70,49,63,67,53
2300,0.9951465555555555,14000,-50007.5,26434.31537109375,10837,0.15,44,16640.0,72,57,54,56,48,67,59,65,46
2400,0.9949354444444445,55750,-57357.5,25382.6946484375,11294,0.1,48,11800.0,51,73,55,60,71,41,60,50,47
2500,0.9947243333333333,14500,-32085.0,25533.1046875,11773,0.16,34,23040.0,73,60,76,51,61,56,58,62,55
2600,0.9945132222222223,-140000,-35815.0,24980.46103515625,12251,0.01,39,23500.0,70,57,66,57,66,58,64,54,56
2700,0.9943021111111111,52250,-57037.5,25022.74849609375,12698,0.16,48,12850.0,56,56,63,63,42,60,55,62,46
2800,0.994091,-177250,-50160.0,26584.168232421875,13179,0.16,43,13940.0,55,61,46,62,74,60,56,58,64
2900,0.9938798888888889,-135000,-55855.0,25374.66787109375,13639,0.17,49,14750.0,58,59,68,59,57,47,58,52,60
3000,0.9936687777777777,-155000,-58602.5,25050.730537109375,14099,0.23,48,11790.0,67,55,50,72,58,57,50,51,67
3100,0.9934576666666667,27500,-37282.5,25389.3969921875,14584,0.22,38,22160.0,61,58,62,55,67,63,65,58,57
3200,0.9932465555555555,-26500,-36660.0,25275.87400390625,15055,0.11,38,22550.0,71,65,62,65,58,55,52,51,63
3300,0.9930354444444445,-180000,-42640.0,25081.3555859375,15545,0.19,42,20000.0,56,62,57,45,73,71,60,57,65
3400,0.9928243333333333,38500,-50435.0,24982.914609375,16005,0.03,45,14950.0,61,59,59,64,68,47,47,52,64
3500,0.9926132222222223,-149000,-57022.5,25411.0240234375,16455,0.2,47,12470.0,56,49,47,41,75,59,43,69,67
3600,0.9924021111111111,16000,-47080.0,25498.8554296875,16927,0.16,44,18130.0,63,59,63,52,56,61,50,67,64
3700,0.992191,26250,-51280.0,25361.30279296875,17395,0.07,45,14190.0,52,84,49,68,55,60,49,50,53
3800,0.9919798888888889,-179500,-50900.0,24959.180263671875,17866,0.26,44,15080.0,49,69,58,65,66,54,46,49,64
3900,0.9917687777777777,-17250,-35100.0,25005.721845703127,18352,0.2,36,21960.0,66,57,71,47,56,59,73,70,53
4000,0.9915576666666667,-14750,-45895.0,24852.79505859375,18816,0.25,42,18470.0,63,56,55,52,54,52,70,57,68
