episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,21520.809638671875,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,22908.721337890624,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,23743.69759765625,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,24237.904892578124,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,24002.76875,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,23732.391708984374,2884,0.2,33,22090.0,65,73,68,68,48,69,54,67,59
700,0.9985243333333333,-150000,-61652.5,24803.6548828125,3343,0.09,50,9100.0,49,56,58,51,53,58,59,67,57
800,0.9983132222222222,58750,-47802.5,23744.210859375,3808,0.23,42,16500.0,69,54,59,59,58,65,60,57,53
900,0.9981021111111111,-185000,-61765.0,25219.1971875,4249,0.13,53,12700.0,46,58,56,58,57,50,56,52,54
1000,0.997891,83000,-25952.5,24574.17875,4726,0.07,33,27080.0,60,67,59,51,62,61,71,62,44
1100,0.9976798888888889,46500,-46192.5,25159.639384765625,5196,0.16,42,17040.0,62,49,55,58,71,64,56,53,64
1200,0.9974687777777778,-125250,-52350.0,25528.34921875,5675,0.21,47,15580.0,46,51,54,63,72,55,54,58,72
1300,0.9972576666666667,-167250,-42125.0,24806.379365234374,6164,0.16,43,22540.0,73,68,65,62,58,62,53,61,60
1400,0.9970465555555555,-130500,-47535.0,24156.36392578125,6648,0.36,42,17690.0,66,47,71,67,53,61,62,64,59
1500,0.9968354444444445,16000,-53792.5,24657.685166015624,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-45055.0,25333.67951171875,7581,0.3,39,16520.0,70,46,62,80,57,59,60,63,55
1700,0.9964132222222222,-122000,-40842.5,25325.630595703125,8042,0.12,39,19160.0,49,57,44,65,66,49,50,70,60
1800,0.9962021111111111,-7250,-55142.5,25365.04787109375,8501,0.29,46,13750.0,55,45,45,73,58,63,62,60,53
1900,0.995991,-7500,-46985.0,25584.607080078124,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-37432.5,25000.3693359375,9472,0.18,37,20950.0,63,61,59,60,54,59,67,61,64
2100,0.9955687777777777,-151500,-33930.0,25059.01087890625,9970,0.2,36,22910.0,59,62,76,58,70,48,66,64,54
2200,0.9953576666666667,12250,-52142.5,25818.826328125,10433,0.07,47,15180.0,45,69,50,60,63,49,63,60,49
